customer_id,age_group,gender,tier,points_balance,primary_redemption_channel,days_since_last_txn,total_transactions,ecommerce_orders,registered_months
CUST0001,25-34,M,Standard,2253,Fuel,31,28,0,7
CUST0002,18-24,M,Standard,260,Grocery,3,12,4,39
CUST0003,25-34,F,Standard,4464,Fuel,53,23,0,18
CUST0004,35-44,M,Standard,3462,Fuel,43,11,0,49
CUST0005,18-24,F,Standard,759,Fuel,48,16,0,39
CUST0006,18-24,F,Standard,3763,Fuel,68,7,0,36
CUST0007,18-24,M,Standard,4729,Grocery,24,26,1,50
CUST0008,45-54,F,Standard,1907,Fuel,12,19,0,41
CUST0009,25-34,Other,Standard,3032,Fuel,45,13,0,45
CUST0010,25-34,F,Standard,4375,Fuel,31,17,0,18
CUST0011,18-24,F,Standard,458,Grocery,29,17,2,5
CUST0012,45-54,F,Standard,1741,Grocery,83,25,3,10
CUST0013,55+,F,Standard,2020,Fuel,71,28,0,38
CUST0014,25-34,Other,4U+,2965,Grocery,28,20,0,49
CUST0015,25-34,Other,Standard,1252,Fuel,80,18,0,39
CUST0016,45-54,Other,Standard,3126,Grocery,76,13,4,56
CUST0017,35-44,M,Standard,4398,Fuel,34,14,0,28
CUST0018,55+,M,Standard,26,Grocery,33,21,0,56
CUST0019,25-34,Other,Standard,1252,Fuel,47,29,0,60
CUST0020,18-24,F,Standard,4002,Grocery,2,30,2,16
CUST0021,18-24,Other,Standard,4647,Fuel,10,20,0,53
CUST0022,45-54,Other,Standard,1051,Fuel,84,10,0,17
CUST0023,25-34,Other,4U+,4417,Fuel,88,14,0,26
CUST0024,18-24,M,Standard,4239,Grocery,57,12,0,22
CUST0025,18-24,M,Standard,4820,Fuel,28,27,0,41
CUST0026,35-44,M,Standard,552,Fuel,4,21,0,16
CUST0027,25-34,Other,Standard,1755,Grocery,69,23,4,31
CUST0028,18-24,M,Standard,3334,Grocery,24,26,3,23
CUST0029,18-24,M,4U+,3825,Grocery,6,17,5,22
CUST0030,55+,F,Standard,1569,Fuel,24,9,0,28
CUST0031,18-24,F,Standard,3789,Grocery,31,30,4,7
CUST0032,25-34,F,Standard,764,Fuel,30,20,0,31
CUST0033,45-54,M,Standard,480,Grocery,21,17,2,60
CUST0034,55+,Other,4U+,3465,Grocery,89,27,3,10
CUST0035,55+,Other,Standard,1783,Grocery,7,22,0,48
CUST0036,45-54,Other,Standard,410,Fuel,74,21,0,11
CUST0037,55+,M,Standard,1522,Fuel,8,26,0,56
CUST0038,25-34,Other,Standard,982,Grocery,72,24,0,40
CUST0039,55+,F,Standard,4781,Grocery,72,13,1,43
CUST0040,25-34,Other,Standard,2175,Fuel,50,25,0,20
CUST0041,45-54,Other,4U+,594,Grocery,1,23,0,5
CUST0042,18-24,M,Standard,1085,Grocery,44,16,2,11
CUST0043,55+,F,4U+,4333,Grocery,1,26,0,57
CUST0044,55+,M,Standard,945,Grocery,13,13,2,39
CUST0045,35-44,Other,Standard,1667,Grocery,87,20,2,58
CUST0046,18-24,M,Standard,3469,Fuel,35,15,0,50
CUST0047,55+,Other,Standard,1323,Grocery,56,18,4,1
CUST0048,18-24,F,Standard,1221,Fuel,69,23,0,36
CUST0049,35-44,F,Standard,1044,Grocery,5,30,0,58
CUST0050,18-24,F,Standard,2044,Fuel,85,29,0,36
CUST0051,25-34,F,4U+,1939,Fuel,20,5,0,12
CUST0052,25-34,Other,Standard,2032,Grocery,34,8,3,56
CUST0053,45-54,F,Standard,1822,Grocery,25,14,1,15
CUST0054,35-44,M,Standard,3264,Fuel,42,29,0,18
CUST0055,18-24,M,Standard,4392,Grocery,42,13,1,38
CUST0056,45-54,F,Standard,888,Fuel,76,28,0,51
CUST0057,18-24,F,Standard,4966,Grocery,65,23,1,17
CUST0058,55+,Other,Standard,13,Grocery,66,28,5,48
CUST0059,35-44,Other,Standard,3533,Grocery,8,15,5,55
CUST0060,45-54,F,Standard,4154,Grocery,39,17,5,19
CUST0061,45-54,Other,Standard,3444,Fuel,85,28,0,58
CUST0062,18-24,F,Standard,3326,Grocery,70,14,1,28
CUST0063,25-34,Other,Standard,3619,Grocery,56,20,5,11
CUST0064,55+,F,Standard,4222,Grocery,84,7,1,44
CUST0065,18-24,M,Standard,1631,Fuel,18,12,0,31
CUST0066,55+,M,Standard,3395,Grocery,80,27,5,25
CUST0067,18-24,M,4U+,1998,Grocery,18,29,3,15
CUST0068,25-34,M,Standard,411,Grocery,71,19,1,52
CUST0069,55+,F,4U+,3625,Grocery,78,22,3,58
CUST0070,25-34,Other,Standard,3686,Grocery,33,13,4,32
CUST0071,35-44,M,Standard,3603,Grocery,9,13,2,21
CUST0072,45-54,Other,Standard,1235,Fuel,29,9,0,46
CUST0073,35-44,Other,Standard,3398,Fuel,52,19,0,27
CUST0074,55+,Other,Standard,3441,Fuel,49,5,0,55
CUST0075,35-44,F,4U+,48,Grocery,45,18,4,48
CUST0076,45-54,F,Standard,1797,Grocery,34,5,3,22
CUST0077,55+,Other,4U+,3828,Fuel,16,5,0,59
CUST0078,45-54,M,4U+,687,Fuel,82,19,0,12
CUST0079,25-34,F,Standard,3105,Grocery,41,15,2,49
CUST0080,18-24,F,4U+,3453,Grocery,32,5,5,35
CUST0081,18-24,Other,Standard,1836,Grocery,83,6,0,16
CUST0082,25-34,F,Standard,1248,Fuel,30,26,0,8
CUST0083,25-34,Other,Standard,2099,Grocery,47,24,5,46
CUST0084,55+,M,Standard,2548,Fuel,13,14,0,37
CUST0085,55+,Other,4U+,1624,Grocery,9,25,1,7
CUST0086,35-44,Other,Standard,4636,Fuel,5,18,0,43
CUST0087,35-44,M,Standard,4144,Fuel,82,18,0,53
CUST0088,45-54,Other,4U+,3551,Fuel,46,9,0,28
CUST0089,45-54,F,Standard,4408,Grocery,61,28,4,18
CUST0090,45-54,M,Standard,709,Fuel,35,29,0,30
CUST0091,35-44,M,4U+,235,Grocery,63,20,1,23
CUST0092,35-44,Other,Standard,2290,Grocery,76,5,4,13
CUST0093,55+,M,Standard,3329,Fuel,62,27,0,31
CUST0094,35-44,M,4U+,141,Grocery,11,17,5,16
CUST0095,55+,F,Standard,3876,Grocery,70,18,5,36
CUST0096,35-44,F,Standard,3717,Grocery,34,12,0,47
CUST0097,25-34,M,Standard,979,Grocery,68,11,5,31
CUST0098,35-44,M,Standard,823,Grocery,24,16,1,20
CUST0099,18-24,Other,Standard,2247,Fuel,5,14,0,45
CUST0100,55+,F,Standard,840,Grocery,1,20,3,29
CUST0101,45-54,M,Standard,420,Fuel,32,7,0,26
CUST0102,18-24,M,4U+,4726,Fuel,80,9,0,52
CUST0103,55+,F,Standard,2033,Fuel,15,24,0,39
CUST0104,35-44,Other,Standard,3690,Grocery,56,18,2,37
CUST0105,25-34,F,Standard,1702,Fuel,80,26,0,6
CUST0106,18-24,M,Standard,1423,Fuel,70,5,0,27
CUST0107,25-34,F,4U+,2385,Grocery,4,27,2,45
CUST0108,55+,Other,4U+,1912,Fuel,33,30,0,60
CUST0109,25-34,Other,Standard,940,Grocery,69,9,2,53
CUST0110,35-44,Other,Standard,488,Fuel,21,28,0,53
CUST0111,35-44,Other,Standard,1018,Grocery,59,17,2,33
CUST0112,18-24,F,4U+,658,Grocery,76,28,2,39
CUST0113,55+,Other,Standard,748,Fuel,29,5,0,49
CUST0114,55+,Other,Standard,1435,Fuel,60,19,0,59
CUST0115,45-54,M,Standard,4795,Fuel,55,20,0,23
CUST0116,18-24,M,4U+,2630,Grocery,85,15,3,45
CUST0117,18-24,F,4U+,3280,Grocery,70,7,2,17
CUST0118,18-24,Other,Standard,3311,Fuel,65,22,0,30
CUST0119,35-44,Other,4U+,1536,Fuel,66,29,0,32
CUST0120,55+,M,4U+,1667,Fuel,34,14,0,29
CUST0121,55+,M,4U+,236,Fuel,80,27,0,11
CUST0122,18-24,M,Standard,4524,Fuel,52,8,0,30
CUST0123,55+,Other,Standard,4082,Fuel,37,13,0,27
CUST0124,55+,M,4U+,1996,Grocery,58,17,1,59
CUST0125,35-44,Other,Standard,2263,Fuel,53,13,0,53
CUST0126,55+,Other,Standard,2445,Grocery,75,20,1,29
CUST0127,55+,F,4U+,2723,Grocery,70,19,2,56
CUST0128,25-34,F,Standard,4684,Fuel,49,6,0,21
CUST0129,25-34,F,4U+,3162,Grocery,84,6,1,33
CUST0130,55+,F,Standard,3606,Fuel,12,5,0,47
CUST0131,45-54,F,Standard,1264,Grocery,9,15,4,45
CUST0132,55+,F,4U+,2691,Fuel,86,15,0,41
CUST0133,35-44,M,4U+,560,Fuel,30,28,0,6
CUST0134,25-34,Other,4U+,823,Fuel,56,14,0,58
CUST0135,35-44,F,Standard,2657,Fuel,7,16,0,28
CUST0136,55+,Other,Standard,4351,Fuel,52,30,0,12
CUST0137,45-54,Other,Standard,646,Fuel,78,26,0,16
CUST0138,35-44,F,4U+,1902,Fuel,59,13,0,43
