offer_id,offer_name,category,redemption_channel,discount_type,discount_value,min_points_required,exclusive_4u_plus,valid_days
OFFER001,Grocery Reward #1,Grocery,eCommerce,Fuel cents/L,10,0,False,24
OFFER002,Beverages Reward #2,Beverages,eCommerce,% off,10,1000,False,9
OFFER003,Dairy Reward #3,Dairy,Grocery,$ off,50,0,False,13
OFFER004,Beverages Reward #4,Beverages,Both,% off,50,500,False,28
OFFER005,Produce Reward #5,Produce,eCommerce,$ off,5,100,True,8
OFFER006,Beverages Reward #6,Beverages,Both,Fuel cents/L,50,200,False,21
OFFER007,Dairy Reward #7,Dairy,Both,Free item,15,500,False,30
OFFER008,Produce Reward #8,Produce,Grocery,% off,25,1000,True,24
OFFER009,Bakery Reward #9,Bakery,Grocery,% off,25,0,False,30
OFFER010,Produce Reward #10,Produce,eCommerce,% off,50,0,False,27
OFFER011,Dairy Reward #11,Dairy,Grocery,Free item,5,100,True,29
OFFER012,Produce Reward #12,Produce,Both,$ off,15,100,False,27
OFFER013,Grocery Reward #13,Grocery,eCommerce,% off,10,500,False,11
OFFER014,Dairy Reward #14,Dairy,Both,$ off,50,0,False,12
OFFER015,Snacks Reward #15,Snacks,Grocery,Fuel cents/L,20,1000,True,10
OFFER016,Bakery Reward #16,Bakery,eCommerce,Free item,25,1000,True,26
OFFER017,Snacks Reward #17,Snacks,Grocery,Fuel cents/L,15,100,False,15
OFFER018,Beverages Reward #18,Beverages,Both,$ off,50,1000,False,27
OFFER019,Produce Reward #19,Produce,Both,% off,5,1000,False,9
OFFER020,Beverages Reward #20,Beverages,Grocery,Free item,5,100,True,26
