customer_id,tier,primary_channel,rank,offer_id,offer_name,category,channel,discount,score,components,boosts_applied
CUST0001,Standard,Fuel,1,OFFER007,Dairy Reward #7,Dairy,Both,15Free item,65.35,"{'transaction_affinity': 0.162, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0001,Standard,Fuel,2,OFFER014,Dairy Reward #14,Dairy,Both,50$ off,65.35,"{'transaction_affinity': 0.162, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0001,Standard,Fuel,3,OFFER012,Produce Reward #12,Produce,Both,15$ off,61.17,"{'transaction_affinity': 0.022, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0002,Standard,Grocery,1,OFFER009,Bakery Reward #9,Bakery,Grocery,25% off,82.66,"{'transaction_affinity': 0.25, 'redemption_match': 1.0, 'points_eligibility': 1.0, 'cart_affinity': 0.76, 'demographic_match': 0.5}","{'recency_boost': True, 'tier_multiplier': False}"
CUST0002,Standard,Grocery,2,OFFER001,Grocery Reward #1,Grocery,eCommerce,10Fuel cents/L,81.52,"{'transaction_affinity': 0.281, 'redemption_match': 0.9, 'points_eligibility': 1.0, 'cart_affinity': 0.8, 'demographic_match': 0.5}","{'recency_boost': True, 'tier_multiplier': False}"
CUST0002,Standard,Grocery,3,OFFER020,Beverages Reward #20,Beverages,Grocery,5Free item,78.07,"{'transaction_affinity': 0.122, 'redemption_match': 1.0, 'points_eligibility': 1.0, 'cart_affinity': 0.76, 'demographic_match': 0.5}","{'recency_boost': True, 'tier_multiplier': False}"
CUST0003,Standard,Fuel,1,OFFER007,Dairy Reward #7,Dairy,Both,15Free item,64.81,"{'transaction_affinity': 0.144, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0003,Standard,Fuel,2,OFFER014,Dairy Reward #14,Dairy,Both,50$ off,64.81,"{'transaction_affinity': 0.144, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0003,Standard,Fuel,3,OFFER012,Produce Reward #12,Produce,Both,15$ off,63.16,"{'transaction_affinity': 0.089, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0004,Standard,Fuel,1,OFFER007,Dairy Reward #7,Dairy,Both,15Free item,60.5,"{'transaction_affinity': 0.0, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0004,Standard,Fuel,2,OFFER012,Produce Reward #12,Produce,Both,15$ off,60.5,"{'transaction_affinity': 0.0, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0004,Standard,Fuel,3,OFFER014,Dairy Reward #14,Dairy,Both,50$ off,60.5,"{'transaction_affinity': 0.0, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.8}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0005,Standard,Fuel,1,OFFER004,Beverages Reward #4,Beverages,Both,50% off,63.52,"{'transaction_affinity': 0.201, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0005,Standard,Fuel,2,OFFER006,Beverages Reward #6,Beverages,Both,50Fuel cents/L,63.52,"{'transaction_affinity': 0.201, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0005,Standard,Fuel,3,OFFER012,Produce Reward #12,Produce,Both,15$ off,61.06,"{'transaction_affinity': 0.119, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0006,Standard,Fuel,1,OFFER004,Beverages Reward #4,Beverages,Both,50% off,60.43,"{'transaction_affinity': 0.098, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0006,Standard,Fuel,2,OFFER006,Beverages Reward #6,Beverages,Both,50Fuel cents/L,60.43,"{'transaction_affinity': 0.098, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0006,Standard,Fuel,3,OFFER018,Beverages Reward #18,Beverages,Both,50$ off,60.43,"{'transaction_affinity': 0.098, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0007,Standard,Grocery,1,OFFER008,Produce Reward #8,Produce,Grocery,25% off,73.8,"{'transaction_affinity': 0.323, 'redemption_match': 1.0, 'points_eligibility': 1.0, 'cart_affinity': 0.94, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0007,Standard,Grocery,2,OFFER009,Bakery Reward #9,Bakery,Grocery,25% off,68.81,"{'transaction_affinity': 0.157, 'redemption_match': 1.0, 'points_eligibility': 1.0, 'cart_affinity': 0.94, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0007,Standard,Grocery,3,OFFER003,Dairy Reward #3,Dairy,Grocery,50$ off,68.69,"{'transaction_affinity': 0.153, 'redemption_match': 1.0, 'points_eligibility': 1.0, 'cart_affinity': 0.94, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0008,Standard,Fuel,1,OFFER012,Produce Reward #12,Produce,Both,15$ off,60.09,"{'transaction_affinity': 0.086, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0008,Standard,Fuel,2,OFFER019,Produce Reward #19,Produce,Both,5% off,60.09,"{'transaction_affinity': 0.086, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
CUST0008,Standard,Fuel,3,OFFER004,Beverages Reward #4,Beverages,Both,50% off,57.91,"{'transaction_affinity': 0.014, 'redemption_match': 0.7, 'points_eligibility': 1.0, 'cart_affinity': 1.0, 'demographic_match': 0.5}","{'recency_boost': False, 'tier_multiplier': False}"
